DisorderID,OrphaCode,ExpertLink,DisorderName,DisorderType,DisorderGroup,AgeOfOnsetIDs,AgeOfOnsetNames,InheritanceTypeIDs,InheritanceTypeNames
12730,96106,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96106,Distal duplication 16q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12729,96105,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96105,Distal duplication 13q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12733,96109,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96109,Distal duplication 22q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12722,96098,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96098,Distal duplication 6q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12721,96097,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96097,Distal duplication 5q syndrome,Malformation syndrome,Disorder,23515,Neonatal,,
12720,96096,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96096,Distal duplication 4q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12727,96103,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96103,Distal duplication 11q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12726,96102,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96102,Distal duplication 10q syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12725,96101,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96101,Distal duplication 9q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12724,96100,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96100,Distal duplication 8q syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12718,96094,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96094,Distal duplication 2q syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12719,96095,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96095,3q26 microduplication syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12716,96092,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96092,8p inverted duplication/deletion syndrome,Malformation syndrome,Disorder,23508|23522|23515,Antenatal|Infancy|Neonatal,23494|23480,Not applicable|Unknown
12696,96072,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96072,4p16.3 microduplication syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12698,96074,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96074,Distal duplication 7p syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
12702,96078,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96078,16p13.3 microduplication syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12693,96069,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96069,Distal duplication 1p36 syndrome,Malformation syndrome,Disorder,23522|23515,Infancy|Neonatal,,
12692,96068,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96068,Mosaic trisomy 22 syndrome,Malformation syndrome,Disorder,23508|23515,Antenatal|Neonatal,,
